CPUE	FOO	Reads	Reads_4th	CPUE_4th	TotalReads_4thRoot
0.198614708	11.95756991	627547	28.14566825	0.667579284	28.14566825
45.08474023	78.88138862	5109711	47.54436862	2.591238531	47.54436862
0.009643202	0.675024108	4404	8.146326785	0.31336848	8.146326785
0.130591202	4.339440694	3023966	41.70078457	0.601143949	41.70078457
2.50775212	4.821600771	922507	30.99148721	1.258407076	30.99148721
0.055448409	0.289296046	0	0	0.485257517	0
0.00247968	0.289296046	0	0	0.223151046	0
0.003375121	0.771456123	34254	13.60435084	0.241030678	13.60435084
0.293587884	9.161041466	92391	17.4344165	0.736096126	17.4344165
0.729526274	24.01157184	15907891	63.15433284	0.924187807	63.15433284
1.875711624	35.87270974	1852230	36.89128038	1.170284674	36.89128038
0.02168484	1.253616201	2269319	38.81270285	0.383741755	38.81270285
0.129431546	5.882352941	8657938	54.24423863	0.599804935	54.24423863
0.00096432	0.096432015	112405	18.31033995	0.176220046	18.31033995
0	0	1344	6.054800208	0	6.054800208
