Sample	localityID	Depth	Month	Year	Alopias_vulpinus	Galeorhinus_galeus	Lamna_nasus	Leucoraja_naevus	Mustelus_asterias	Raja_brachyura	Raja_clavata	Raja_microocellata	Raja_montagui	Raja_undulata	Scyliorhinus_canicula	Scyliorhinus_stellaris	Squalus_acanthias
MBA-2017.02.08-L4-01	L4	1	2	2017	0	0	0	0	0	329	3	142451	82609	0	0	0	0
MBA-2017.02.08-L4-01	L4	1	2	2017	0	0	0	0	0	202	0	3278	84875	0	0	0	0
MBA-2017.02.08-L4-01	L4	1	2	2017	0	0	0	0	0	0	0	1270	8	0	0	0	0
MBA-2017.02.08-L4-02	L4	2	2	2017	0	0	0	0	0	2	197	10278	398	0	0	0	0
MBA-2017.02.08-L4-02	L4	2	2	2017	0	0	0	0	0	21	0	20207	16037	0	0	0	0
MBA-2017.02.08-L4-02	L4	2	2	2017	0	0	0	0	188	55	9531	70752	26697	0	83	0	0
MBA-2017.02.16-E1-01	E1	1	2	2017	0	0	0	0	0	12	6	15790	252	0	59	0	0
MBA-2017.02.16-E1-01	E1	1	2	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.02.16-E1-01	E1	1	2	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.02.16-E1-02	E1	2	2	2017	0	0	0	0	11	0	610	0	557	0	1286	0	0
MBA-2017.02.16-E1-02	E1	2	2	2017	0	0	0	0	0	2	0	232	33	0	4	0	0
MBA-2017.02.16-E1-02	E1	2	2	2017	0	0	0	0	0	0	2	369	4	0	0	0	0
MBA-2017.02.16-L5-01	L5	1	2	2017	0	0	0	0	0	0	0	0	2	0	0	0	0
MBA-2017.02.16-L5-01	L5	1	2	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.02.16-L5-02	L5	2	2	2017	0	0	0	0	9147	0	0	0	0	0	0	0	0
MBA-2017.02.16-L5-02	L5	2	2	2017	0	0	0	0	1	0	2	0	0	0	4	0	0
MBA-2017.02.16-L5-02	L5	2	2	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.03.09-L4-01	L4	1	3	2017	0	0	0	0	33397	3223	27	2001	245512	0	197486	1462	0
MBA-2017.03.09-L4-01	L4	1	3	2017	0	0	0	0	67	2019	2	93207	1045703	0	213096	0	1
MBA-2017.03.09-L4-01	L4	1	3	2017	0	0	0	92389	222611	114899	18	539679	917439	0	645282	193981	0
MBA-2017.03.09-L4-02	L4	2	3	2017	0	0	0	0	452223	2598	12	229845	1161985	0	54513	29820	0
MBA-2017.03.09-L4-02	L4	2	3	2017	0	0	0	0	13	17	2	278064	61290	0	173746	5863	0
MBA-2017.03.09-L4-02	L4	2	3	2017	0	0	0	0	0	411	4	270223	88037	0	16283	0	0
MBA-2017.03.15-L4-01	L4	1	3	2017	0	0	0	0	331748	1230276	3087	47571	1522881	33880	281072	0	2
MBA-2017.03.15-L4-01	L4	1	3	2017	0	0	0	0	401367	1296481	32732	69139	1078273	1	336379	0	0
MBA-2017.03.15-L4-01	L4	1	3	2017	0	0	0	0	164874	772339	23673	56848	1133534	2	314795	0	0
MBA-2017.03.15-L4-02	L4	2	3	2017	0	0	0	0	77062	258074	17906	28093	189847	0	108701	0	0
MBA-2017.03.15-L4-02	L4	2	3	2017	0	0	0	0	248891	238725	75772	15644	331297	0	353483	27573	0
MBA-2017.03.15-L4-02	L4	2	3	2017	0	0	0	0	36537	297805	13350	39504	229410	0	64627	0	0
MBA-2017.04.05-L4-01	L4	1	4	2017	0	0	0	0	4735	0	11	0	0	0	0	0	0
MBA-2017.04.05-L4-01	L4	1	4	2017	0	0	0	0	0	23	9	2	7034	0	6	0	0
MBA-2017.04.05-L4-01	L4	1	4	2017	0	0	0	0	0	1616	4	202	624542	0	0	0	0
MBA-2017.04.05-L4-02	L4	2	4	2017	0	0	0	0	0	0	1	0	0	0	4	0	0
MBA-2017.04.05-L4-02	L4	2	4	2017	0	0	0	0	0	7776	6	234	593406	0	1	0	0
MBA-2017.04.05-L4-02	L4	2	4	2017	0	0	0	0	0	176	49	70518	1230	0	0	0	0
MBA-2017.04.10-E1-01	E1	1	4	2017	0	0	0	0	17	0	0	0	3	0	3	0	15
MBA-2017.04.10-E1-01	E1	1	4	2017	0	0	0	0	8	0	0	0	0	0	0	0	0
MBA-2017.04.10-E1-01	E1	1	4	2017	0	0	0	0	28	1	0	0	7	0	1	0	26
MBA-2017.04.10-E1-02	E1	2	4	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.04.10-E1-02	E1	2	4	2017	0	0	0	0	53	238	1	6	304	7	65	0	1
MBA-2017.04.10-E1-02	E1	2	4	2017	0	0	0	0	89	0	0	22	1	0	0	0	107
MBA-2017.04.10-L5-01	L5	1	4	2017	0	0	0	0	245692	1136	11	148	324767	0	72	247	0
MBA-2017.04.10-L5-01	L5	1	4	2017	0	0	0	0	14	59	4	8	49	0	17	0	0
MBA-2017.04.10-L5-01	L5	1	4	2017	0	0	0	0	41	3219	5	13	278	0	10272	0	0
MBA-2017.04.10-L5-02	L5	2	4	2017	0	0	0	0	22	42	3	8	331	0	242	0	0
MBA-2017.04.10-L5-02	L5	2	4	2017	0	0	0	0	57	59	15	3	77	0	74	11	0
MBA-2017.04.10-L5-02	L5	2	4	2017	0	0	0	0	0	284	58	17760	126888	0	37466	0	0
MBA-2017.05.18-L4-01	L4	1	5	2017	0	0	0	0	0	20	12	0	2	0	26	16604	0
MBA-2017.05.18-L4-01	L4	1	5	2017	0	0	0	0	0	0	12	0	0	0	0	0	0
MBA-2017.05.18-L4-01	L4	1	5	2017	0	0	0	0	0	29	0	4	12053	0	5805	0	0
MBA-2017.05.18-L4-02	L4	2	5	2017	0	0	0	0	16534	8	0	1	5919	0	451	0	0
MBA-2017.05.18-L4-02	L4	2	5	2017	0	0	0	0	0	0	0	0	0	0	1	0	0
MBA-2017.05.18-L4-02	L4	2	5	2017	0	0	0	0	0	9	0	0	8	0	0	74	0
MBA-2017.05.31-E1-01	E1	1	5	2017	0	0	0	0	0	0	0	0	135	0	12	0	0
MBA-2017.05.31-E1-01	E1	1	5	2017	0	0	0	0	0	0	0	0	1	0	0	0	0
MBA-2017.05.31-E1-01	E1	1	5	2017	0	0	0	0	0	0	0	0	15	0	0	0	0
MBA-2017.05.31-E1-02	E1	2	5	2017	0	0	0	0	5	1	9	2	46	0	0	0	0
MBA-2017.05.31-E1-02	E1	2	5	2017	0	0	0	0	0	1	0	0	1	0	0	0	0
MBA-2017.05.31-E1-02	E1	2	5	2017	0	0	0	0	0	0	0	0	1	0	88	0	0
MBA-2017.05.31-L5-01	L5	1	5	2017	0	0	0	0	612	51312	0	25	2093	0	43145	0	0
MBA-2017.05.31-L5-01	L5	1	5	2017	0	0	0	0	0	12	0	0	3428	0	1712	0	0
MBA-2017.05.31-L5-01	L5	1	5	2017	0	0	0	0	0	0	0	0	0	0	4	0	0
MBA-2017.05.31-L5-02	L5	2	5	2017	0	1	0	0	0	582	0	50	2343	0	1489	0	0
MBA-2017.05.31-L5-02	L5	2	5	2017	0	0	0	0	7	74	12	4	662	0	14	12	9
MBA-2017.05.31-L5-02	L5	2	5	2017	0	0	0	0	4	0	0	0	24	0	23	0	0
MBA-2017.06.13-E1-01	E1	1	6	2017	0	0	0	0	0	4	55562	44	2	0	172168	0	0
MBA-2017.06.13-E1-01	E1	1	6	2017	0	0	0	0	0	183	2	19	58100	0	79693	0	0
MBA-2017.06.13-E1-01	E1	1	6	2017	0	0	0	0	0	0	1	0	0	0	5	0	0
MBA-2017.06.13-E1-02	E1	2	6	2017	0	0	0	0	0	0	2	0	0	0	3	0	3
MBA-2017.06.13-E1-02	E1	2	6	2017	0	0	0	0	0	1	3	0	0	0	0	0	0
MBA-2017.06.13-E1-02	E1	2	6	2017	0	0	0	0	0	0	0	0	0	0	11	0	0
MBA-2017.06.13-L5-01	L5	1	6	2017	0	0	0	0	0	0	0	0	0	0	542544	0	0
MBA-2017.06.13-L5-01	L5	1	6	2017	0	0	0	0	0	3	0	0	0	0	224	0	0
